"PVWatts Hourly PV Performance Data"
"Requested Location","94123, USA"
"Location","Lat, Lng: 37.81, -122.42"
"Latitude (DD)","37.81"
"Longitude (DD)","-122.42"
"Elevation (m)","0"
"DC System Size (kW)","1000"
"Module Type","Premium"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","12","15","870","97","19","3.1","0.07","707.775","32.921","586483.161","561738.168"
"7","12","16","806","87","18","3.1","0.07","496.877","27.796","420602.282","401735.108"
"7","12","17","690","73","17","3.2","0.07","268.035","22.059","207904.768","196574.313"
"7","12","18","463","49","15","2.9","0.07","67.266","16.216","39285.28","33929.683"
"7","12","19","0","0","14","2.6","0.07","0","0","0","0"
"7","12","20","0","0","13","2.5","0.07","0","13","0","0"
"7","12","21","0","0","13","2.4","0.07","0","13","0","0"
"7","12","22","0","0","13","2.3","0.07","0","13","0","0"
"7","12","23","0","0","12","2.2","0.07","0","12","0","0"
"7","13","0","0","0","12","2.1","0.07","0","12","0","0"
"7","13","1","0","0","12","2.1","0.07","0","12","0","0"
"7","13","2","0","0","11","2","0.07","0","11","0","0"
"7","13","3","0","0","11","1.9","0.07","0","11","0","0"
"7","13","4","0","0","11","1.8","0.07","0","11","0","0"
"7","13","5","238","28","13","1.8","0.07","21.754","13.514","14238.127","9770.051"
"7","13","6","586","64","15","1.6","0.07","156.722","18.829","106095.671","98372.717"
"7","13","7","0","97","17","1.3","0.07","89.914","19.515","73224.692","66666.487"
"7","13","8","0","147","19","1.2","0.07","136.677","22.902","110223.683","102354.457"
"7","13","9","16","263","21","1.3","0.07","258.753","28.195","207430.958","196117.292"
"7","13","10","143","433","22","1.5","0.07","554.275","36.714","438914.696","419398.64"
"7","13","11","87","455","23","1.8","0.07","527.594","36.1","416151.679","397442.208"
"7","13","12","926","119","24","2.2","0.07","1045.545","48.071","809197.905","776561.243"
"7","13","13","914","120","24","2.5","0.07","994.108","45.636","777945.465","746416.202"
"7","13","14","891","115","23","2.7","0.07","876.586","41.424","699743.936","670985.663"
"7","13","15","851","107","22","2.8","0.07","704.502","36.579","575626.924","551266.61"
"7","13","16","784","96","21","2.9","0.07","494.617","31.085","413402.741","394790.676"
"7","13","17","665","79","20","2.8","0.07","266.407","25.383","204539.177","193327.978"
"7","13","18","434","51","17","2.7","0.07","67.281","18.273","39931.242","34552.757"
"7","13","19","0","0","15","2.7","0.07","0","0","0","0"
"7","13","20","0","0","14","2.9","0.07","0","14","0","0"
"7","13","21","0","0","13","2.9","0.07","0","13","0","0"
